time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-15T19:42:30.540Z,36.6455,-121.274,10.1,4.71,mw,89,54,0.04759,0.14,nc,nc73292360,2020-09-29T22:06:48.876Z,"17km SSE of Tres Pinos, CA",earthquake,0.15,0.31,,4,reviewed,nc,nc
2017-11-13T19:31:29.050Z,36.6305,-121.2443333,6.31,4.58,mw,82,55,0.05988,0.11,nc,nc72923380,2018-10-05T14:00:40.985Z,"22km NE of Gonzales, California",earthquake,0.12,0.36,,6,reviewed,nc,nc
2014-08-24T10:20:44.070Z,38.2151667,-122.3123333,11.12,6.02,mw,369,28,0.03604,0.18,nc,nc72282711,2020-08-14T23:04:26.676Z,"South Napa",earthquake,0.11,0.15,,0,reviewed,nc,nc
2011-08-27T07:18:21.150Z,36.5843333,-121.1808333,7.5,4.64,mw,97,31,0.08108,0.08,nc,nc71627835,2020-05-02T02:50:33.967Z,"Central California",earthquake,0.11,0.3,,5,reviewed,nc,nc
2011-01-12T08:51:03.680Z,36.7711667,-121.4963333,7.661,4.5,mw,134,35,0.01802,0.19,nc,nc71508850,2020-05-02T02:42:59.011Z,"Central California",earthquake,0.15,0.28,,16,reviewed,nc,nc
2007-10-31T03:04:54.810Z,37.4335,-121.7743333,9.741,5.45,mw,156,50,0.02703,0.11,nc,nc40204628,2020-07-10T14:23:13.751Z,"San Francisco Bay area, California",earthquake,0.11,0.28,,6,reviewed,nc,nc
2006-08-03T03:08:12.860Z,38.3635,-122.5886667,8.55,4.5,mw,107,28,0.01712,0.14,nc,nc21530368,2020-05-06T09:05:57.951Z,"Northern California",earthquake,0.14,0.27,,6,reviewed,nc,nc
2002-05-14T05:00:29.500Z,36.9668333,-121.5983333,6.791,4.9,mw,110,30,0.01532,0.15,nc,nc21254601,2020-02-12T17:39:33.701Z,"Northern California",earthquake,0.15,0.31,,4,reviewed,nc,nc
2001-12-28T21:14:01.950Z,36.6401667,-121.251,6.575,4.6,mw,60,71,0.03243,0.07,nc,nc21207275,2019-06-28T18:47:45.408Z,"Central California",earthquake,0.15,0.32,,5,reviewed,nc,nc
2000-09-03T08:36:30.110Z,38.3788333,-122.4133333,9.367,4.9,mw,77,34,0.02523,0.15,nc,nc21123384,2020-07-07T22:32:51.430Z,"Northern California",earthquake,0.19,0.4,,7,reviewed,nc,nc
